data,valor
01/11/2025,1.05
01/10/2025,1.28
01/09/2025,1.22
01/08/2025,1.16
01/07/2025,1.28
01/06/2025,1.1
01/05/2025,1.14
01/04/2025,1.06
01/03/2025,0.96
01/02/2025,0.99
01/01/2025,1.01
01/12/2024,0.93
01/11/2024,0.79
01/10/2024,0.93
01/09/2024,0.84
01/08/2024,0.87
01/07/2024,0.91
01/06/2024,0.79
01/05/2024,0.83
01/04/2024,0.89
01/03/2024,0.83
01/02/2024,0.8
01/01/2024,0.97
01/12/2023,0.89
01/11/2023,0.92
01/10/2023,1.0
01/09/2023,0.97
01/08/2023,1.14
01/07/2023,1.07
01/06/2023,1.07
01/05/2023,1.12
01/04/2023,0.92
01/03/2023,1.17
01/02/2023,0.92
01/01/2023,1.12
01/12/2022,1.12
01/11/2022,1.02
01/10/2022,1.02
01/09/2022,1.07
01/08/2022,1.17
01/07/2022,1.03
01/06/2022,1.02
01/05/2022,1.03
01/04/2022,0.83
01/03/2022,0.93
01/02/2022,0.76
01/01/2022,0.73
01/12/2021,0.77
01/11/2021,0.59
01/10/2021,0.49
01/09/2021,0.44
01/08/2021,0.43
01/07/2021,0.36
01/06/2021,0.31
01/05/2021,0.27
01/04/2021,0.21
01/03/2021,0.2
01/02/2021,0.13
01/01/2021,0.15
01/12/2020,0.16
01/11/2020,0.15
01/10/2020,0.16
01/09/2020,0.16
01/08/2020,0.16
01/07/2020,0.19
01/06/2020,0.21
01/05/2020,0.24
01/04/2020,0.28
01/03/2020,0.34
01/02/2020,0.29
01/01/2020,0.38
01/12/2019,0.37
01/11/2019,0.38
01/10/2019,0.48
01/09/2019,0.46
01/08/2019,0.5
01/07/2019,0.57
01/06/2019,0.47
01/05/2019,0.54
01/04/2019,0.52
01/03/2019,0.47
01/02/2019,0.49
01/01/2019,0.54
01/12/2018,0.49
01/11/2018,0.49
01/10/2018,0.54
01/09/2018,0.47
01/08/2018,0.57
01/07/2018,0.54
01/06/2018,0.52
01/05/2018,0.52
01/04/2018,0.52
01/03/2018,0.53
01/02/2018,0.47
01/01/2018,0.58
01/12/2017,0.54
01/11/2017,0.57
01/10/2017,0.64
01/09/2017,0.64
01/08/2017,0.8
01/07/2017,0.8
01/06/2017,0.81
01/05/2017,0.93
01/04/2017,0.79
01/03/2017,1.05
01/02/2017,0.87
01/01/2017,1.09
01/12/2016,1.0
01/11/2016,1.04
01/10/2016,1.05
01/09/2016,1.11
01/08/2016,1.22
01/07/2016,1.11
01/06/2016,1.16
01/05/2016,1.11
01/04/2016,1.06
01/03/2016,1.16
01/02/2016,1.0
01/01/2016,1.06
01/12/2015,1.16
01/11/2015,1.06
01/10/2015,1.11
01/09/2015,1.11
01/08/2015,1.11
01/07/2015,1.18
01/06/2015,1.07
01/05/2015,0.99
01/04/2015,0.95
01/03/2015,1.04
01/02/2015,0.82
01/01/2015,0.94
01/12/2014,0.96
01/11/2014,0.84
01/10/2014,0.95
01/09/2014,0.91
01/08/2014,0.87
01/07/2014,0.95
01/06/2014,0.82
01/05/2014,0.87
01/04/2014,0.82
01/03/2014,0.77
01/02/2014,0.79
01/01/2014,0.85
01/12/2013,0.79
01/11/2013,0.72
01/10/2013,0.81
01/09/2013,0.71
01/08/2013,0.71
01/07/2013,0.72
01/06/2013,0.61
01/05/2013,0.6
01/04/2013,0.61
01/03/2013,0.55
01/02/2013,0.49
01/01/2013,0.6
01/12/2012,0.55
01/11/2012,0.55
01/10/2012,0.61
01/09/2012,0.54
01/08/2012,0.69
01/07/2012,0.68
01/06/2012,0.64
01/05/2012,0.74
01/04/2012,0.71
01/03/2012,0.82
01/02/2012,0.75
01/01/2012,0.89
01/12/2011,0.91
01/11/2011,0.86
01/10/2011,0.88
01/09/2011,0.94
01/08/2011,1.07
01/07/2011,0.97
01/06/2011,0.96
01/05/2011,0.99
01/04/2011,0.84
01/03/2011,0.92
01/02/2011,0.84
01/01/2011,0.86
01/12/2010,0.93
01/11/2010,0.81
01/10/2010,0.81
01/09/2010,0.85
01/08/2010,0.89
01/07/2010,0.86
01/06/2010,0.79
01/05/2010,0.75
01/04/2010,0.67
01/03/2010,0.76
01/02/2010,0.59
01/01/2010,0.66
01/12/2009,0.73
01/11/2009,0.66
01/10/2009,0.69
01/09/2009,0.69
01/08/2009,0.69
01/07/2009,0.79
01/06/2009,0.76
01/05/2009,0.77
01/04/2009,0.84
01/03/2009,0.97
01/02/2009,0.86
01/01/2009,1.05
01/12/2008,1.12
01/11/2008,1.02
01/10/2008,1.18
01/09/2008,1.1
01/08/2008,1.02
01/07/2008,1.07
01/06/2008,0.96
01/05/2008,0.88
01/04/2008,0.9
01/03/2008,0.84
01/02/2008,0.8
01/01/2008,0.93
01/12/2007,0.84
01/11/2007,0.84
01/10/2007,0.93
01/09/2007,0.8
01/08/2007,0.99
01/07/2007,0.97
01/06/2007,0.91
01/05/2007,1.03
01/04/2007,0.94
01/03/2007,1.05
01/02/2007,0.87
01/01/2007,1.08
01/12/2006,0.99
01/11/2006,1.02
01/10/2006,1.09
01/09/2006,1.06
01/08/2006,1.26
01/07/2006,1.17
01/06/2006,1.18
01/05/2006,1.28
01/04/2006,1.08
01/03/2006,1.42
01/02/2006,1.14
01/01/2006,1.43
01/12/2005,1.47
01/11/2005,1.38
01/10/2005,1.41
01/09/2005,1.5
01/08/2005,1.66
01/07/2005,1.51
01/06/2005,1.59
01/05/2005,1.5
01/04/2005,1.41
01/03/2005,1.53
01/02/2005,1.22
01/01/2005,1.38
01/12/2004,1.48
01/11/2004,1.25
01/10/2004,1.21
01/09/2004,1.25
01/08/2004,1.29
01/07/2004,1.29
01/06/2004,1.23
01/05/2004,1.23
01/04/2004,1.18
01/03/2004,1.38
01/02/2004,1.08
01/01/2004,1.27
01/12/2003,1.37
01/11/2003,1.34
01/10/2003,1.64
01/09/2003,1.68
01/08/2003,1.77
01/07/2003,2.08
01/06/2003,1.86
01/05/2003,1.97
01/04/2003,1.87
01/03/2003,1.78
01/02/2003,1.83
01/01/2003,1.97
01/12/2002,1.74
01/11/2002,1.54
01/10/2002,1.65
01/09/2002,1.38
01/08/2002,1.44
01/07/2002,1.54
01/06/2002,1.33
01/05/2002,1.41
01/04/2002,1.48
01/03/2002,1.37
01/02/2002,1.25
01/01/2002,1.53
01/12/2001,1.39
01/11/2001,1.39
01/10/2001,1.53
01/09/2001,1.32
01/08/2001,1.6
01/07/2001,1.5
01/06/2001,1.27
01/05/2001,1.34
01/04/2001,1.19
01/03/2001,1.26
01/02/2001,1.02
01/01/2001,1.27
01/12/2000,1.2
01/11/2000,1.22
01/10/2000,1.29
01/09/2000,1.22
01/08/2000,1.41
01/07/2000,1.31
01/06/2000,1.39
01/05/2000,1.49
01/04/2000,1.3
01/03/2000,1.45
01/02/2000,1.45
01/01/2000,1.46
01/12/1999,1.6
01/11/1999,1.39
01/10/1999,1.38
01/09/1999,1.49
01/08/1999,1.57
01/07/1999,1.66
01/06/1999,1.67
01/05/1999,2.02
01/04/1999,2.35
01/03/1999,3.33
