data,valor
01/10/2001,0.83
01/09/2001,0.28
01/08/2001,0.7
01/07/2001,1.33
01/06/2001,0.52
01/05/2001,0.41
01/04/2001,0.58
01/03/2001,0.38
01/02/2001,0.46
01/01/2001,0.57
01/12/2000,0.59
01/11/2000,0.32
01/10/2000,0.14
01/09/2000,0.23
01/08/2000,1.31
01/07/2000,1.61
01/06/2000,0.23
01/05/2000,0.01
01/04/2000,0.42
01/03/2000,0.22
01/02/2000,0.13
01/01/2000,0.62
01/12/1999,0.6
01/11/1999,0.95
01/10/1999,1.19
01/09/1999,0.31
01/08/1999,0.56
01/07/1999,1.09
01/06/1999,0.19
01/05/1999,0.3
01/04/1999,0.56
01/03/1999,1.1
01/02/1999,1.05
01/01/1999,0.7
01/12/1998,0.33
01/10/1998,0.02
01/06/1998,0.02
01/05/1998,0.5
01/04/1998,0.24
01/03/1998,0.34
01/02/1998,0.46
01/01/1998,0.71
01/12/1997,0.43
01/11/1997,0.17
01/10/1997,0.23
01/09/1997,0.06
01/07/1997,0.22
01/06/1997,0.54
01/05/1997,0.41
01/04/1997,0.88
01/03/1997,0.51
01/02/1997,0.5
01/01/1997,1.18
01/12/1996,0.47
01/11/1996,0.32
01/10/1996,0.3
01/09/1996,0.15
01/08/1996,0.44
01/07/1996,1.11
01/06/1996,1.19
01/05/1996,1.22
01/04/1996,1.26
01/03/1996,0.35
01/02/1996,1.03
01/01/1996,1.34
01/12/1995,1.56
01/11/1995,1.47
01/10/1995,1.41
01/09/1995,0.99
01/08/1995,0.99
01/07/1995,2.36
01/06/1995,2.26
01/05/1995,2.67
01/04/1995,2.43
01/03/1995,1.55
01/02/1995,1.02
01/01/1995,1.7
01/12/1994,1.71
01/11/1994,2.81
01/10/1994,2.62
01/09/1994,1.53
01/08/1994,1.86
01/07/1994,6.84
01/06/1994,47.43
01/05/1994,44.03
01/04/1994,42.68
01/03/1994,42.75
01/02/1994,40.27
01/01/1994,41.31
